                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.1737,                 2.1654,                0.91416,                 0.4811,                0.31148,                0.30287,                0.11426,                 2.5687,                 3.0275,                0.92521,              0.0015361,              0.0015361,              0.0015361
                     84,                 2.4237,                  2.432,                0.93319,                0.62079,                0.29508,                0.32216,                0.10846,                 2.5862,                 2.9749,                0.92839,              0.0015305,              0.0015305,              0.0015305
                     85,                 2.3148,                 2.3756,                0.94275,                0.61119,                0.27869,                0.33006,                0.09036,                 2.5142,                 2.6137,                 0.9331,              0.0015248,              0.0015248,              0.0015248
                     86,                 2.2828,                 2.6029,                 0.8973,                0.75891,                0.25817,                0.29868,                 0.0834,                 2.8047,                 2.7333,                0.96514,              0.0015191,              0.0015191,              0.0015191
                     87,                 2.2849,                 2.2887,                 0.9268,                0.68632,                0.32787,                0.36242,                0.10754,                 2.6633,                 3.4098,                0.95395,              0.0015135,              0.0015135,              0.0015135
                     88,                 2.1516,                 2.4291,                0.93481,                0.42804,                 0.2623,                0.25177,                0.07477,                 2.6893,                  3.636,                 0.9521,              0.0015078,              0.0015078,              0.0015078
                     89,                 2.2525,                  2.324,                0.93521,                0.31551,                 0.2459,                0.12792,                0.04319,                 2.8763,                 2.7973,                0.96175,              0.0015022,              0.0015022,              0.0015022
                     90,                  2.421,                 2.5781,                0.95471,                0.28951,                0.19672,                 0.1131,                0.03355,                 2.8106,                 2.8422,                0.94904,              0.0014965,              0.0014965,              0.0014965
                     91,                 2.4185,                 2.3076,                0.93592,                0.22616,                 0.2459,                0.14055,                0.03715,                 2.7169,                 2.8209,                0.93259,              0.0014909,              0.0014909,              0.0014909
                     92,                 2.2176,                 2.1328,                0.93223,                0.50543,                 0.2623,                0.23351,                0.04837,                 2.7911,                 2.9314,                0.93829,              0.0014852,              0.0014852,              0.0014852
                     93,                 2.1843,                 2.0926,                0.91562,                0.30506,                0.20158,                0.16248,                0.03699,                 2.9229,                 3.3729,                0.95406,              0.0014795,              0.0014795,              0.0014795
                     94,                 2.2274,                 2.2805,                0.90153,                0.28072,                0.18033,                0.11685,                 0.0244,                 2.8712,                 3.1678,                0.94708,              0.0014739,              0.0014739,              0.0014739
                     95,                 2.2628,                 2.1269,                0.91542,                0.60354,                 0.2459,                0.25138,                0.06247,                 2.6962,                 2.5233,                0.93039,              0.0014682,              0.0014682,              0.0014682
                     96,                 2.3414,                 2.0756,                0.91935,                0.64747,                0.22951,                0.25252,                0.07433,                 2.6024,                 2.5679,                 0.9217,              0.0014626,              0.0014626,              0.0014626
